observation_date,NONREVSL_20000215
1953-01-01,30.5
1953-02-01,30.9
1953-03-01,31.6
1953-04-01,32.1
1953-05-01,32.4
1953-06-01,32.5
1953-07-01,32.8
1953-08-01,33.1
1953-09-01,33.3
1953-10-01,33.5
1953-11-01,33.6
1953-12-01,33.7
1954-01-01,34.1
1954-02-01,33.7
1954-03-01,33.5
1954-04-01,33.7
1954-05-01,33.7
1954-06-01,33.8
1954-07-01,34.1
1954-08-01,34.0
1954-09-01,34.1
1954-10-01,34.4
1954-11-01,34.6
1954-12-01,35.0
1955-01-01,35.4
1955-02-01,35.9
1955-03-01,36.5
1955-04-01,37.2
1955-05-01,37.7
1955-06-01,38.5
1955-07-01,39.0
1955-08-01,39.7
1955-09-01,40.4
1955-10-01,40.8
1955-11-01,41.4
1955-12-01,41.9
1956-01-01,42.1
1956-02-01,42.6
1956-03-01,43.2
1956-04-01,43.4
1956-05-01,43.8
1956-06-01,44.1
1956-07-01,44.2
1956-08-01,44.5
1956-09-01,44.8
1956-10-01,44.9
1956-11-01,45.4
1956-12-01,45.4
1957-01-01,45.7
1957-02-01,46.0
1957-03-01,46.2
1957-04-01,46.5
1957-05-01,46.8
1957-06-01,47.0
1957-07-01,47.4
1957-08-01,47.6
1957-09-01,47.7
1957-10-01,47.9
1957-11-01,48.0
1957-12-01,48.1
1958-01-01,48.3
1958-02-01,48.1
1958-03-01,47.8
1958-04-01,47.7
1958-05-01,47.6
1958-06-01,47.5
1958-07-01,47.6
1958-08-01,47.6
1958-09-01,47.7
1958-10-01,47.8
1958-11-01,48.0
1958-12-01,48.4
1959-01-01,49.0
1959-02-01,49.5
1959-03-01,50.0
1959-04-01,50.5
1959-05-01,51.0
1959-06-01,51.7
1959-07-01,52.4
1959-08-01,53.0
1959-09-01,53.7
1959-10-01,54.4
1959-11-01,54.8
1959-12-01,56.0
1960-01-01,56.0
1960-02-01,56.4
1960-03-01,56.9
1960-04-01,57.7
1960-05-01,58.0
1960-06-01,58.4
1960-07-01,58.7
1960-08-01,58.9
1960-09-01,59.4
1960-10-01,59.6
1960-11-01,59.9
1960-12-01,60.0
1961-01-01,60.7
1961-02-01,60.3
1961-03-01,60.5
1961-04-01,60.1
1961-05-01,60.2
1961-06-01,60.3
1961-07-01,60.4
1961-08-01,60.6
1961-09-01,60.9
1961-10-01,61.2
1961-11-01,61.7
1961-12-01,62.2
1962-01-01,62.3
1962-02-01,62.6
1962-03-01,63.1
1962-04-01,63.9
1962-05-01,64.6
1962-06-01,65.1
1962-07-01,65.5
1962-08-01,66.1
1962-09-01,66.4
1962-10-01,67.0
1962-11-01,67.6
1962-12-01,68.1
1963-01-01,68.7
1963-02-01,69.4
1963-03-01,70.1
1963-04-01,70.8
1963-05-01,71.3
1963-06-01,71.9
1963-07-01,72.7
1963-08-01,73.6
1963-09-01,74.2
1963-10-01,75.1
1963-11-01,75.6
1963-12-01,76.6
1964-01-01,77.5
1964-02-01,78.3
1964-03-01,79.2
1964-04-01,79.9
1964-05-01,80.8
1964-06-01,81.4
1964-07-01,82.3
1964-08-01,83.0
1964-09-01,83.9
1964-10-01,84.5
1964-11-01,84.9
