observation_date,DGORDER_20000615
1958-02-01,12026
1958-03-01,12630
1958-04-01,11836
1958-05-01,12380
1958-06-01,13399
1958-07-01,13072
1958-08-01,13783
1958-09-01,13326
1958-10-01,14230
1958-11-01,15438
1958-12-01,14722
1959-01-01,15647
1959-02-01,16374
1959-03-01,16741
1959-04-01,16926
1959-05-01,16213
1959-06-01,16971
1959-07-01,15676
1959-08-01,14935
1959-09-01,15342
1959-10-01,15632
1959-11-01,14754
1959-12-01,16124
1960-01-01,15507
1960-02-01,15455
1960-03-01,15284
1960-04-01,15120
1960-05-01,15303
1960-06-01,15596
1960-07-01,15065
1960-08-01,15982
1960-09-01,15870
1960-10-01,14704
1960-11-01,14733
1960-12-01,14923
1961-01-01,14092
1961-02-01,14443
1961-03-01,14474
1961-04-01,15334
1961-05-01,15522
1961-06-01,15881
1961-07-01,15628
1961-08-01,16552
1961-09-01,16296
1961-10-01,16430
1961-11-01,16991
1961-12-01,17536
1962-01-01,17469
1962-02-01,17570
1962-03-01,17056
1962-04-01,16826
1962-05-01,16896
1962-06-01,16795
1962-07-01,17031
1962-08-01,16929
1962-09-01,17697
1962-10-01,18048
1962-11-01,17591
1962-12-01,18486
1963-01-01,18352
1963-02-01,18555
1963-03-01,18885
1963-04-01,18720
1963-05-01,18940
1963-06-01,18206
1963-07-01,18877
1963-08-01,18299
1963-09-01,18810
1963-10-01,19146
1963-11-01,18798
1963-12-01,18444
1964-01-01,20498
1964-02-01,19753
1964-03-01,19616
1964-04-01,20403
1964-05-01,20405
1964-06-01,20551
1964-07-01,21503
1964-08-01,19761
1964-09-01,20999
1964-10-01,20682
1964-11-01,20562
1964-12-01,21666
1965-01-01,22416
1965-02-01,22206
1965-03-01,22752
1965-04-01,23068
1965-05-01,22445
1965-06-01,22763
1965-07-01,23495
1965-08-01,23705
1965-09-01,23026
1965-10-01,24215
1965-11-01,24469
1965-12-01,25030
1966-01-01,25791
1966-02-01,25681
1966-03-01,26793
1966-04-01,26279
1966-05-01,25963
1966-06-01,26651
1966-07-01,26024
1966-08-01,25433
1966-09-01,27326
1966-10-01,26463
1966-11-01,25575
1966-12-01,25501
1967-01-01,24924
1967-02-01,24775
1967-03-01,24402
1967-04-01,24581
1967-05-01,25968
1967-06-01,26426
1967-07-01,25504
1967-08-01,26043
1967-09-01,25575
1967-10-01,26052
1967-11-01,26412
1967-12-01,28865
1968-01-01,27256
1968-02-01,27421
1968-03-01,28648
1968-04-01,27502
1968-05-01,26989
1968-06-01,27347
1968-07-01,27217
1968-08-01,27074
1968-09-01,28649
1968-10-01,30010
1968-11-01,28909
1968-12-01,28783
1969-01-01,29503
1969-02-01,30300
1969-03-01,29840
1969-04-01,31433
1969-05-01,29583
1969-06-01,29083
1969-07-01,29220
1969-08-01,29871
1969-09-01,31030
1969-10-01,30242
1969-11-01,29572
1969-12-01,29244
1970-01-01,28093
1970-02-01,27911
1970-03-01,27240
